createdAt,ticketType,popularityBand,raceGrade,investment,payout,racecourse,raceNumber,horseNumber,jockeyName,horseName,raceTimeDetail,courseSurface,courseDirection,courseLength,weather,trackCondition,memo
2025-09-11T00:06:49.031873+00:00,複勝,1〜3番人気,平場,1000,100,京都,3,4,岩田望来,ウマログスター76,7R,芝,右,1400m,曇,稍重,初めての競馬場
2025-09-11T06:06:49.031873+00:00,単勝,穴,G1,8000,800,京都,8,9,武豊,ミドリカゼ90,7R,ダート,左,1600m,曇,重,勢いで買った
2025-09-11T12:06:49.031873+00:00,複勝,中穴,G1,2000,20000,札幌,10,9,武豊,ナイトランナー69,2R,ダート,右,3000m,雨,重,次回は控える
2025-09-11T18:06:49.031873+00:00,馬連,穴,G1,100,5000,京都,5,3,C.ルメール,ウマログスター49,5R,ダート,直線,2200m,曇,重,買い目を絞った
2025-09-12T00:06:49.031873+00:00,馬連,穴,重賞,200,3000,阪神,9,8,横山武史,ナイトランナー49,5R,芝,直線,2200m,晴,稍重,冷静に買えた
2025-09-12T06:06:49.031873+00:00,ワイド,中穴,重賞,200,100,中京,12,11,C.ルメール,ナイトランナー51,11R,ダート,右,2000m,曇,稍重,初めての競馬場
2025-09-12T12:06:49.031873+00:00,馬単,穴,平場,3000,3000,函館,6,8,横山武史,サクラミチ64,2R,芝,右,1600m,曇,不良,次回は控える
2025-09-12T18:06:49.031873+00:00,複勝,中穴,重賞,10000,1200,福島,5,18,武豊,ウマログスター88,9R,ダート,直線,2200m,晴,重,ワイドで保険
2025-09-13T00:06:49.031873+00:00,枠連,中穴,G1,1000,2000,阪神,9,4,M.デムーロ,サクラミチ78,4R,芝,左,1600m,晴,重,見送るべきだった
2025-09-13T06:06:49.031873+00:00,単勝,1〜3番人気,重賞,1000,100,東京,4,3,川田将雅,ナイトランナー9,9R,芝,右,2500m,曇,重,初めての競馬場
2025-09-13T12:06:49.031873+00:00,3連複,1〜3番人気,平場,500,10000,小倉,7,12,松山弘平,サクラミチ58,2R,芝,右,1400m,雨,良,次回は控える
2025-09-13T18:06:49.031873+00:00,馬連,穴,G1,100,0,東京,4,3,武豊,ホワイトリバー10,9R,芝,左,2500m,曇,稍重,次回は控える
2025-09-14T00:06:49.031873+00:00,3連単,1〜3番人気,重賞,3000,100,中山,2,14,坂井瑠星,グリーンシャドウ53,8R,芝,直線,1400m,晴,不良,買い目を絞った
2025-09-14T06:06:49.031873+00:00,複勝,1〜3番人気,G1,500,2000,新潟,3,14,横山武史,キンモクセイ60,4R,芝,左,3000m,晴,良,初めての競馬場
2025-09-14T12:06:49.031873+00:00,単勝,1〜3番人気,G1,300,800,新潟,8,7,戸崎圭太,サンプルホース22,7R,芝,左,2000m,小雨,重,ワイドで保険
2025-09-14T18:06:49.031873+00:00,3連単,1〜3番人気,G1,1000,100,東京,10,18,武豊,ホワイトリバー8,1R,ダート,直線,3000m,曇,良,初めての競馬場
2025-09-15T00:06:49.031873+00:00,複勝,1〜3番人気,G1,10000,0,京都,7,4,横山和生,アオノルート75,10R,芝,直線,1400m,小雨,重,直前に変更した
2025-09-15T06:06:49.031873+00:00,馬連,穴,平場,2000,100,小倉,7,5,M.デムーロ,ナイトランナー41,2R,芝,左,1400m,晴,稍重,初めての競馬場
2025-09-15T12:06:49.031873+00:00,馬単,1〜3番人気,重賞,200,100,札幌,5,6,松山弘平,サクラミチ91,5R,芝,直線,3000m,雨,良,人気を信じた
2025-09-15T18:06:49.031873+00:00,馬単,1〜3番人気,G1,8000,0,小倉,5,7,坂井瑠星,アオノルート88,11R,ダート,直線,2500m,雨,良,勢いで買った
2025-09-16T00:06:49.031873+00:00,3連複,中穴,G1,100,500,阪神,11,9,横山武史,ナイトランナー71,12R,ダート,直線,1200m,晴,良,人気を信じた
2025-09-16T06:06:49.031873+00:00,単勝,中穴,平場,8000,0,函館,3,2,M.デムーロ,ホワイトリバー6,6R,芝,直線,1800m,晴,重,初めての競馬場
2025-09-16T12:06:49.031873+00:00,3連複,穴,平場,300,100,阪神,3,14,武豊,ミドリカゼ95,6R,ダート,直線,1800m,雨,稍重,勢いで買った
2025-09-16T18:06:49.031873+00:00,3連複,1〜3番人気,重賞,500,100,新潟,6,10,C.ルメール,アオノルート4,11R,芝,左,2200m,雨,良,直前に変更した
2025-09-17T00:06:49.031873+00:00,ワイド,穴,平場,3000,5000,福島,6,1,川田将雅,キンモクセイ23,10R,ダート,右,1400m,小雨,重,買い目を絞った
2025-09-17T06:06:49.031873+00:00,3連複,穴,平場,200,800,中京,4,9,武豊,グリーンシャドウ1,9R,芝,左,2400m,晴,重,次回は控える
2025-09-17T12:06:49.031873+00:00,ワイド,穴,G1,1000,2000,小倉,11,14,坂井瑠星,グリーンシャドウ90,5R,芝,右,2400m,小雨,稍重,次回は控える
2025-09-17T18:06:49.031873+00:00,馬単,中穴,平場,100,200,小倉,4,14,横山和生,レインボーファーム84,6R,ダート,左,2500m,曇,不良,人気を信じた
2025-09-18T00:06:49.031873+00:00,複勝,中穴,平場,10000,500,中山,4,10,C.ルメール,アオノルート19,1R,芝,右,2500m,晴,不良,ワイドで保険
2025-09-18T06:06:49.031873+00:00,馬連,穴,平場,3000,1200,函館,4,5,武豊,ウマログスター55,4R,芝,直線,3000m,小雨,良,初めての競馬場
2025-09-18T12:06:49.031873+00:00,馬連,1〜3番人気,重賞,300,15000,新潟,11,17,岩田望来,レインボーファーム41,8R,ダート,直線,2500m,曇,不良,見送るべきだった
2025-09-18T18:06:49.031873+00:00,馬単,1〜3番人気,平場,1000,15000,福島,8,8,M.デムーロ,ナイトランナー10,12R,ダート,右,2000m,雨,重,初めての競馬場
2025-09-19T00:06:49.031873+00:00,複勝,1〜3番人気,G1,500,800,阪神,12,7,川田将雅,グリーンシャドウ53,6R,ダート,左,1200m,曇,不良,ワイドで保険
2025-09-19T06:06:49.031873+00:00,単勝,穴,重賞,5000,0,札幌,5,13,戸崎圭太,サクラミチ96,12R,芝,左,1800m,雨,不良,見送るべきだった
2025-09-19T12:06:49.031873+00:00,単勝,中穴,重賞,3000,10000,阪神,8,5,横山和生,サクラミチ4,7R,芝,右,2400m,曇,不良,人気を信じた
2025-09-19T18:06:49.031873+00:00,単勝,中穴,重賞,2000,100,新潟,6,11,戸崎圭太,キンモクセイ97,7R,ダート,右,2500m,晴,良,買い目を絞った
2025-09-20T00:06:49.031873+00:00,馬連,穴,G1,100,15000,東京,4,7,武豊,レインボーファーム20,4R,芝,左,1400m,曇,不良,直前に変更した
2025-09-20T06:06:49.031873+00:00,ワイド,1〜3番人気,平場,10000,10000,中山,3,10,川田将雅,レインボーファーム4,5R,ダート,左,1800m,晴,稍重,勢いで買った
2025-09-20T12:06:49.031873+00:00,馬単,穴,平場,200,15000,中京,1,12,岩田望来,グリーンシャドウ85,6R,芝,直線,2200m,晴,不良,見送るべきだった
2025-09-20T18:06:49.031873+00:00,複勝,中穴,重賞,5000,10000,阪神,7,6,岩田望来,キンモクセイ79,9R,ダート,左,2400m,雨,重,穴狙い
2025-09-21T00:06:49.031873+00:00,複勝,中穴,重賞,500,15000,新潟,10,13,坂井瑠星,サンプルホース64,6R,芝,左,1800m,雨,重,買い目を絞った
2025-09-21T06:06:49.031873+00:00,馬単,穴,平場,1000,2000,東京,9,7,川田将雅,アオノルート93,7R,ダート,直線,1800m,小雨,不良,見送るべきだった
2025-09-21T12:06:49.031873+00:00,単勝,1〜3番人気,重賞,500,800,京都,5,12,松山弘平,サクラミチ68,6R,ダート,直線,3000m,雨,重,見送るべきだった
2025-09-21T18:06:49.031873+00:00,馬単,中穴,重賞,500,0,京都,6,4,岩田望来,ミドリカゼ25,4R,ダート,左,3000m,雨,良,穴狙い
2025-09-22T00:06:49.031873+00:00,馬単,1〜3番人気,重賞,300,200,東京,12,18,横山武史,キンモクセイ6,1R,ダート,直線,1600m,小雨,良,冷静に買えた
2025-09-22T06:06:49.031873+00:00,馬単,中穴,重賞,5000,500,阪神,1,9,松山弘平,ウマログスター9,7R,ダート,右,1200m,曇,稍重,次回は控える
2025-09-22T12:06:49.031873+00:00,馬単,1〜3番人気,G1,200,2000,函館,10,8,岩田望来,グリーンシャドウ58,8R,ダート,直線,2400m,雨,良,次回は控える
2025-09-22T18:06:49.031873+00:00,複勝,1〜3番人気,平場,500,200,中山,3,8,横山武史,サクラミチ10,3R,芝,左,2500m,小雨,重,冷静に買えた
2025-09-23T00:06:49.031873+00:00,馬連,中穴,平場,1000,10000,新潟,2,8,M.デムーロ,レインボーファーム85,4R,ダート,右,3000m,曇,稍重,直前に変更した
2025-09-23T06:06:49.031873+00:00,枠連,1〜3番人気,G1,300,15000,小倉,10,10,松山弘平,ウマログスター60,12R,ダート,直線,2400m,雨,不良,見送るべきだった
2025-09-23T12:06:49.031873+00:00,複勝,穴,G1,3000,10000,札幌,10,9,武豊,ウマログスター30,11R,芝,直線,2000m,晴,稍重,見送るべきだった
2025-09-23T18:06:49.031873+00:00,3連単,中穴,G1,10000,800,新潟,2,16,坂井瑠星,グリーンシャドウ43,6R,芝,右,2200m,小雨,不良,直前に変更した
2025-09-24T00:06:49.031873+00:00,3連複,穴,G1,5000,0,札幌,5,11,川田将雅,グリーンシャドウ66,1R,ダート,左,1200m,曇,重,次回は控える
2025-09-24T06:06:49.031873+00:00,3連単,穴,重賞,100,100,小倉,9,5,M.デムーロ,ナイトランナー90,8R,芝,右,1800m,曇,重,初めての競馬場
2025-09-24T12:06:49.031873+00:00,単勝,穴,重賞,200,100,中山,8,4,横山武史,ナイトランナー92,5R,ダート,左,2500m,小雨,稍重,見送るべきだった
2025-09-24T18:06:49.031873+00:00,枠連,中穴,G1,10000,2000,阪神,2,9,戸崎圭太,ホワイトリバー65,5R,芝,左,2000m,小雨,稍重,見送るべきだった
2025-09-25T00:06:49.031873+00:00,3連単,中穴,重賞,8000,15000,福島,7,15,坂井瑠星,アオノルート90,4R,ダート,右,2400m,晴,重,見送るべきだった
2025-09-25T06:06:49.031873+00:00,3連複,中穴,平場,300,1200,東京,3,17,横山和生,ホワイトリバー13,8R,芝,直線,2500m,晴,稍重,ワイドで保険
2025-09-25T12:06:49.031873+00:00,枠連,1〜3番人気,重賞,1000,500,中京,12,13,川田将雅,ホワイトリバー87,9R,ダート,左,2500m,晴,良,穴狙い
2025-09-25T18:06:49.031873+00:00,馬単,1〜3番人気,平場,200,800,中山,11,4,松山弘平,ミドリカゼ89,5R,芝,右,2200m,晴,重,買い目を絞った
2025-09-26T00:06:49.031873+00:00,ワイド,中穴,G1,500,2000,函館,10,6,横山武史,ミドリカゼ11,10R,ダート,直線,1800m,小雨,稍重,穴狙い
2025-09-26T06:06:49.031873+00:00,3連単,穴,重賞,5000,200,東京,8,10,岩田望来,ミドリカゼ10,8R,ダート,直線,2000m,小雨,重,見送るべきだった
2025-09-26T12:06:49.031873+00:00,馬単,1〜3番人気,重賞,5000,0,京都,7,12,横山和生,キンモクセイ90,5R,芝,直線,2400m,雨,良,次回は控える
2025-09-26T18:06:49.031873+00:00,単勝,穴,平場,5000,20000,小倉,4,12,C.ルメール,アオノルート80,5R,芝,直線,1400m,晴,重,見送るべきだった
2025-09-27T00:06:49.031873+00:00,単勝,穴,重賞,300,0,小倉,6,14,横山武史,アオノルート17,9R,ダート,直線,3000m,雨,稍重,直前に変更した
2025-09-27T06:06:49.031873+00:00,3連単,中穴,平場,2000,15000,中山,8,3,横山武史,アオノルート87,12R,ダート,直線,2200m,晴,不良,冷静に買えた
2025-09-27T12:06:49.031873+00:00,馬単,穴,G1,5000,500,小倉,10,13,坂井瑠星,ウマログスター87,4R,ダート,右,3000m,雨,稍重,勢いで買った
2025-09-27T18:06:49.031873+00:00,3連単,穴,重賞,3000,0,阪神,1,2,M.デムーロ,ナイトランナー15,2R,芝,直線,1600m,小雨,不良,買い目を絞った
2025-09-28T00:06:49.031873+00:00,3連複,穴,平場,300,800,中山,8,14,M.デムーロ,サンプルホース89,6R,芝,左,2500m,曇,重,勢いで買った
2025-09-28T06:06:49.031873+00:00,ワイド,穴,平場,2000,0,函館,5,7,川田将雅,ナイトランナー12,11R,芝,直線,1200m,晴,重,穴狙い
2025-09-28T12:06:49.031873+00:00,枠連,穴,G1,200,20000,福島,4,7,C.ルメール,ホワイトリバー19,10R,芝,左,1600m,曇,重,人気を信じた
2025-09-28T18:06:49.031873+00:00,複勝,穴,G1,300,0,札幌,4,11,武豊,ミドリカゼ34,1R,芝,直線,2400m,晴,良,見送るべきだった
2025-09-29T00:06:49.031873+00:00,3連単,中穴,平場,10000,0,新潟,9,8,横山和生,サンプルホース94,11R,ダート,左,1200m,晴,不良,ワイドで保険
2025-09-29T06:06:49.031873+00:00,3連複,穴,G1,5000,10000,新潟,2,3,坂井瑠星,レインボーファーム19,2R,芝,左,3000m,雨,不良,次回は控える
2025-09-29T12:06:49.031873+00:00,馬単,中穴,平場,10000,800,中山,12,4,岩田望来,アオノルート56,8R,芝,左,2200m,小雨,不良,ワイドで保険
2025-09-29T18:06:49.031873+00:00,複勝,中穴,重賞,2000,5000,小倉,6,5,松山弘平,ウマログスター12,2R,芝,左,1400m,雨,稍重,初めての競馬場
2025-09-30T00:06:49.031873+00:00,単勝,穴,平場,8000,500,中山,7,12,戸崎圭太,サンプルホース37,10R,ダート,左,1400m,曇,稍重,見送るべきだった
2025-09-30T06:06:49.031873+00:00,馬連,1〜3番人気,重賞,8000,500,中山,5,8,戸崎圭太,サクラミチ99,10R,芝,直線,2000m,晴,稍重,直前に変更した
2025-09-30T12:06:49.031873+00:00,馬単,中穴,重賞,100,0,阪神,10,13,川田将雅,ミドリカゼ95,11R,芝,右,3000m,曇,不良,ワイドで保険
2025-09-30T18:06:49.031873+00:00,3連単,中穴,G1,2000,200,札幌,10,3,武豊,ミドリカゼ21,10R,芝,直線,1400m,雨,不良,ワイドで保険
2025-10-01T00:06:49.031873+00:00,3連単,穴,重賞,3000,200,京都,9,4,坂井瑠星,グリーンシャドウ15,5R,ダート,直線,2000m,晴,稍重,ワイドで保険
2025-10-01T06:06:49.031873+00:00,単勝,1〜3番人気,G1,1000,100,阪神,5,10,坂井瑠星,ウマログスター1,8R,ダート,右,1600m,小雨,稍重,初めての競馬場
2025-10-01T12:06:49.031873+00:00,ワイド,1〜3番人気,重賞,100,800,東京,8,3,坂井瑠星,レインボーファーム55,10R,ダート,直線,2400m,雨,良,ワイドで保険
2025-10-01T18:06:49.031873+00:00,単勝,中穴,G1,10000,1200,札幌,2,14,川田将雅,アオノルート56,10R,ダート,直線,1400m,小雨,重,買い目を絞った
2025-10-02T00:06:49.031873+00:00,馬連,中穴,G1,200,2000,中山,9,17,C.ルメール,ホワイトリバー45,12R,芝,右,1400m,曇,重,穴狙い
2025-10-02T06:06:49.031873+00:00,枠連,穴,G1,200,0,新潟,8,15,横山和生,レインボーファーム42,11R,ダート,右,2500m,晴,不良,見送るべきだった
2025-10-02T12:06:49.031873+00:00,馬単,中穴,平場,100,500,福島,2,10,松山弘平,ナイトランナー5,1R,ダート,左,1400m,晴,不良,見送るべきだった
2025-10-02T18:06:49.031873+00:00,単勝,中穴,平場,500,500,中京,8,17,横山武史,サンプルホース58,2R,ダート,直線,1400m,曇,良,穴狙い
2025-10-03T00:06:49.031873+00:00,3連単,中穴,平場,8000,3000,阪神,6,12,M.デムーロ,グリーンシャドウ53,6R,芝,直線,2200m,晴,重,勢いで買った
2025-10-03T06:06:49.031873+00:00,3連複,中穴,重賞,10000,20000,阪神,6,3,横山和生,ミドリカゼ45,5R,ダート,右,1400m,雨,不良,買い目を絞った
2025-10-03T12:06:49.031873+00:00,枠連,穴,平場,8000,0,函館,9,12,武豊,ホワイトリバー40,3R,芝,左,2500m,曇,稍重,人気を信じた
2025-10-03T18:06:49.031873+00:00,枠連,1〜3番人気,重賞,200,2000,福島,12,17,武豊,ホワイトリバー99,10R,芝,直線,2400m,曇,稍重,人気を信じた
2025-10-04T00:06:49.031873+00:00,枠連,穴,重賞,100,800,札幌,11,8,松山弘平,レインボーファーム37,12R,ダート,右,3000m,曇,重,見送るべきだった
2025-10-04T06:06:49.031873+00:00,馬連,中穴,平場,10000,1200,新潟,5,13,岩田望来,サクラミチ54,3R,芝,直線,1600m,雨,良,見送るべきだった
2025-10-04T12:06:49.031873+00:00,ワイド,穴,G1,8000,20000,中山,5,3,横山武史,キンモクセイ58,9R,芝,左,1400m,曇,不良,買い目を絞った
2025-10-04T18:06:49.031873+00:00,単勝,中穴,G1,3000,2000,札幌,4,13,川田将雅,ホワイトリバー29,1R,ダート,右,2200m,曇,稍重,冷静に買えた
2025-10-05T00:06:49.031873+00:00,馬単,中穴,平場,300,15000,新潟,8,1,川田将雅,サンプルホース33,4R,芝,直線,3000m,小雨,良,直前に変更した
2025-10-05T06:06:49.031873+00:00,馬連,中穴,G1,100,100,函館,11,15,川田将雅,ウマログスター64,10R,芝,直線,3000m,曇,稍重,直前に変更した
2025-10-05T12:06:49.031873+00:00,3連複,1〜3番人気,平場,2000,100,中京,7,6,川田将雅,サクラミチ47,2R,芝,左,2500m,晴,不良,買い目を絞った
2025-10-05T18:06:49.031873+00:00,馬単,穴,G1,2000,15000,中山,6,8,川田将雅,レインボーファーム95,6R,芝,右,2200m,雨,稍重,見送るべきだった
2025-10-06T00:06:49.031873+00:00,3連単,穴,G1,300,0,新潟,1,10,C.ルメール,サンプルホース26,1R,ダート,左,3000m,小雨,不良,直前に変更した
2025-10-06T06:06:49.031873+00:00,単勝,穴,G1,1000,500,東京,11,11,M.デムーロ,ウマログスター48,7R,ダート,直線,2500m,小雨,重,人気を信じた
2025-10-06T12:06:49.031873+00:00,3連単,穴,重賞,2000,15000,福島,5,3,戸崎圭太,ウマログスター56,10R,芝,直線,2000m,雨,良,勢いで買った
2025-10-06T18:06:49.031873+00:00,ワイド,穴,重賞,1000,1200,中京,12,14,横山武史,ナイトランナー45,8R,芝,直線,2200m,小雨,重,冷静に買えた
2025-10-07T00:06:49.031873+00:00,複勝,穴,平場,3000,500,福島,12,6,武豊,ミドリカゼ78,11R,ダート,右,1600m,晴,稍重,買い目を絞った
2025-10-07T06:06:49.031873+00:00,ワイド,中穴,平場,100,3000,阪神,11,15,坂井瑠星,ホワイトリバー57,2R,芝,直線,2200m,小雨,重,直前に変更した
2025-10-07T12:06:49.031873+00:00,馬連,1〜3番人気,G1,300,1200,福島,7,18,川田将雅,キンモクセイ34,12R,ダート,右,2000m,小雨,稍重,勢いで買った
2025-10-07T18:06:49.031873+00:00,枠連,1〜3番人気,重賞,300,10000,新潟,2,11,坂井瑠星,ウマログスター71,9R,ダート,左,1600m,曇,重,初めての競馬場
2025-10-08T00:06:49.031873+00:00,馬連,1〜3番人気,G1,300,100,新潟,1,12,岩田望来,レインボーファーム48,8R,芝,直線,1400m,晴,重,ワイドで保険
2025-10-08T06:06:49.031873+00:00,3連単,穴,重賞,3000,20000,中京,2,5,坂井瑠星,ウマログスター58,8R,ダート,右,3000m,曇,稍重,ワイドで保険
2025-10-08T12:06:49.031873+00:00,単勝,1〜3番人気,平場,300,200,阪神,3,11,C.ルメール,ホワイトリバー67,5R,芝,左,1800m,雨,稍重,直前に変更した
2025-10-08T18:06:49.031873+00:00,複勝,穴,平場,300,3000,中京,3,6,横山和生,レインボーファーム44,10R,芝,右,1400m,晴,重,穴狙い
2025-10-09T00:06:49.031873+00:00,3連複,穴,平場,100,1200,福島,5,10,松山弘平,アオノルート88,7R,ダート,左,1400m,晴,稍重,見送るべきだった
2025-10-09T06:06:49.031873+00:00,3連複,中穴,重賞,500,500,中京,3,11,坂井瑠星,ホワイトリバー52,3R,ダート,直線,3000m,晴,重,穴狙い
2025-10-09T12:06:49.031873+00:00,3連単,1〜3番人気,重賞,5000,100,阪神,2,2,M.デムーロ,グリーンシャドウ79,7R,芝,右,2200m,雨,稍重,人気を信じた
2025-10-09T18:06:49.031873+00:00,3連単,穴,重賞,5000,200,新潟,1,3,戸崎圭太,サクラミチ59,4R,芝,直線,2200m,晴,良,直前に変更した
2025-10-10T00:06:49.031873+00:00,3連単,穴,平場,5000,200,福島,1,4,戸崎圭太,ミドリカゼ34,12R,ダート,左,2200m,晴,不良,冷静に買えた
2025-10-10T06:06:49.031873+00:00,馬連,中穴,平場,1000,0,函館,9,15,岩田望来,キンモクセイ80,11R,芝,右,1400m,小雨,重,買い目を絞った
2025-10-10T12:06:49.031873+00:00,ワイド,1〜3番人気,G1,10000,2000,函館,9,2,武豊,サンプルホース18,12R,ダート,左,3000m,小雨,稍重,次回は控える
2025-10-10T18:06:49.031873+00:00,枠連,中穴,平場,2000,0,函館,10,10,横山和生,ホワイトリバー65,9R,ダート,直線,2000m,小雨,良,買い目を絞った
2025-10-11T00:06:49.031873+00:00,ワイド,穴,G1,3000,3000,小倉,12,1,横山和生,ナイトランナー34,11R,芝,直線,1200m,小雨,稍重,初めての競馬場
2025-10-11T06:06:49.031873+00:00,3連複,1〜3番人気,平場,500,0,中京,12,4,C.ルメール,サンプルホース57,6R,ダート,右,2400m,曇,不良,初めての競馬場
2025-10-11T12:06:49.031873+00:00,3連単,穴,平場,100,10000,阪神,9,7,岩田望来,ホワイトリバー85,8R,ダート,左,1600m,小雨,重,初めての競馬場
2025-10-11T18:06:49.031873+00:00,ワイド,穴,平場,1000,3000,新潟,4,8,M.デムーロ,サクラミチ39,4R,ダート,左,1800m,小雨,重,見送るべきだった
2025-10-12T00:06:49.031873+00:00,ワイド,穴,平場,1000,200,中山,10,18,戸崎圭太,グリーンシャドウ45,3R,ダート,右,2000m,晴,重,見送るべきだった
2025-10-12T06:06:49.031873+00:00,馬単,穴,重賞,500,100,福島,5,18,M.デムーロ,ミドリカゼ14,10R,芝,右,1200m,曇,稍重,冷静に買えた
2025-10-12T12:06:49.031873+00:00,複勝,中穴,重賞,5000,0,阪神,1,18,横山武史,グリーンシャドウ84,8R,ダート,直線,1800m,雨,重,直前に変更した
2025-10-12T18:06:49.031873+00:00,単勝,1〜3番人気,平場,10000,100,福島,12,2,横山武史,グリーンシャドウ23,1R,ダート,左,1600m,雨,良,冷静に買えた
2025-10-13T00:06:49.031873+00:00,馬単,穴,平場,200,500,小倉,8,18,岩田望来,ナイトランナー18,9R,ダート,左,1800m,晴,重,人気を信じた
2025-10-13T06:06:49.031873+00:00,3連単,穴,重賞,300,0,札幌,5,7,横山武史,レインボーファーム82,7R,ダート,直線,2200m,晴,不良,勢いで買った
2025-10-13T12:06:49.031873+00:00,枠連,1〜3番人気,重賞,2000,100,東京,5,13,C.ルメール,ナイトランナー97,5R,ダート,左,1200m,雨,重,穴狙い
2025-10-13T18:06:49.031873+00:00,単勝,穴,G1,5000,200,阪神,7,17,M.デムーロ,ウマログスター82,5R,ダート,直線,1800m,曇,稍重,見送るべきだった
2025-10-14T00:06:49.031873+00:00,枠連,中穴,平場,10000,500,函館,12,18,松山弘平,サクラミチ86,4R,芝,直線,1400m,小雨,重,勢いで買った
2025-10-14T06:06:49.031873+00:00,複勝,1〜3番人気,平場,8000,100,中京,9,5,横山武史,ホワイトリバー67,8R,芝,直線,1800m,小雨,良,初めての競馬場
2025-10-14T12:06:49.031873+00:00,3連単,1〜3番人気,重賞,300,2000,函館,8,2,岩田望来,ナイトランナー87,5R,芝,左,2000m,晴,稍重,次回は控える
2025-10-14T18:06:49.031873+00:00,複勝,1〜3番人気,重賞,2000,10000,中山,9,2,川田将雅,ナイトランナー5,5R,ダート,右,1600m,小雨,重,ワイドで保険
2025-10-15T00:06:49.031873+00:00,3連単,中穴,重賞,200,5000,福島,3,12,川田将雅,ミドリカゼ69,7R,芝,直線,1800m,晴,良,直前に変更した
2025-10-15T06:06:49.031873+00:00,3連単,穴,平場,8000,800,福島,7,8,C.ルメール,ナイトランナー45,3R,ダート,右,1400m,晴,不良,次回は控える
2025-10-15T12:06:49.031873+00:00,単勝,1〜3番人気,G1,200,0,中京,1,15,横山和生,サンプルホース32,12R,芝,左,2500m,曇,稍重,冷静に買えた
2025-10-15T18:06:49.031873+00:00,枠連,穴,重賞,500,20000,中京,6,11,C.ルメール,キンモクセイ19,11R,芝,左,2000m,雨,良,初めての競馬場
2025-10-16T00:06:49.031873+00:00,枠連,穴,平場,3000,2000,新潟,1,12,戸崎圭太,サクラミチ41,12R,ダート,左,1600m,雨,不良,人気を信じた
2025-10-16T06:06:49.031873+00:00,3連単,1〜3番人気,G1,1000,20000,阪神,8,2,岩田望来,グリーンシャドウ54,9R,芝,左,1800m,雨,稍重,買い目を絞った
2025-10-16T12:06:49.031873+00:00,複勝,中穴,重賞,200,2000,京都,1,9,戸崎圭太,レインボーファーム78,1R,芝,右,3000m,曇,不良,穴狙い
2025-10-16T18:06:49.031873+00:00,ワイド,中穴,G1,500,100,中山,12,16,C.ルメール,レインボーファーム91,4R,ダート,右,3000m,雨,重,ワイドで保険
2025-10-17T00:06:49.031873+00:00,3連単,穴,平場,2000,200,小倉,6,17,松山弘平,ナイトランナー13,12R,ダート,左,1800m,雨,重,ワイドで保険
2025-10-17T06:06:49.031873+00:00,単勝,穴,G1,300,0,小倉,9,14,M.デムーロ,ミドリカゼ26,6R,芝,左,1800m,小雨,重,直前に変更した
2025-10-17T12:06:49.031873+00:00,3連単,穴,平場,5000,1200,阪神,12,12,横山武史,ミドリカゼ93,9R,ダート,右,3000m,晴,良,勢いで買った
2025-10-17T18:06:49.031873+00:00,単勝,1〜3番人気,重賞,300,20000,京都,2,5,武豊,アオノルート65,8R,ダート,右,2500m,小雨,良,冷静に買えた
2025-10-18T00:06:49.031873+00:00,3連複,1〜3番人気,G1,8000,10000,小倉,9,10,武豊,サクラミチ90,11R,ダート,右,1400m,晴,稍重,穴狙い
